Rial value of the line,Rial value of the line after discount,Rial value of the old line,brand,Rial value of invoice products,packaging,Number of product discounts,Rial discount calculated,Quantity purchased,Distributor,Sum of purchased quantity and product discount,Settlement discount percentage,Riyal volume discount percentage of the invoice,Riyal discount percentage of the line,Basket discount percentage,Discount percentage of the product line,Discount percentage of invoice goods,Percentage of total discounts for one product,Tax percentage on the invoice,Tax percentage on the line,Final tax percentage,invoice date day,invoice year month,The basic price of a product,Invoice serial number,The price of one item for the shopkeeper with all discounts applied,Store code,Shop class,Standard group,Strategic group,Bazar group,Invoice date month,Neighborhoods,Characteristic 2,Characteristic 3,area,Characteristic 1,Numeric area,How to settle,weight,Feature 1,Feature 2
1140629,1046448.84,1141596,Setare,7826888,nylon,1,181513.764,11,TakhtJamshid,12,2.986999989,0,4.583000183,0,8.333000183,0,1590.00%,9,0,9,,140101,95133,10102103366,87204.07,101021,A,Spices and salt,Seasoning and spices,pecan,,Gharb,,,5,,5,1,80,,
1141167,1046942.16,1013616,Setare,12463522,nylon,0,52708.032,12,TakhtJamshid,12,2.240999937,0,3,0,0,0,520.00%,9,0,9,,140102,84468,10148501880,87245.18,101485,D,Spices and salt,Seasoning and spices,Turmeric,,Binam,,,10,,10,1,50,,
1141356,1047115.8,993132,Setare,2038202,nylon,0,32773.356,12,TakhtJamshid,12,3.269999981,0,0,0,0,0,330.00%,9,9.303999901,9,,140102,82761,10159804682,87259.65,101598,C,Spices and salt,Seasoning and spices,sour dough,,Jam,,,4,,4,1,50,,
1047637,1047637.32,1080000,Ghoniza,26030000,nylon,0,32400,12,Jojoo,12,2.996999979,0,0,0,0,0,300.00%,0,0,0,,140101,90000,10207100190,87303.11,102071,B,Spices and salt,Seasoning and spices,cinnamon,,Zendan,,,1,the pen,1,1,50,,
1049580,1049580,1071000,Unknown,22688200,nylon,0,21420,3,Ahoora,3,2,0,0,0,0,0,200.00%,0,0,0,,140102,357000,10195202376,349860,101952,A,Spices and salt,Seasoning and spices,Baking powder,,Bala,,,1,,1,1,0,,
1144225,1049747.36,1051152,Setare,9693280,Pat,0,88296.768,8,TakhtJamshid,8,2.378999949,0,6,0,0,0,840.00%,9,8.791000366,9,,140101,131394,10143406426,131218.42,101434,B,Spices and salt,Seasoning and spices,Turmeric,,Laanat,,,11,,11,1,90,,
1050000,1050000,1050000,Bala,42411000,Pat,0,0,6,Aroosha,6,0,0,0,0,0,0,0.00%,0,0,0,,140103,175000,10200501305,175000,102005,B,Spices and salt,Seasoning and spices,Paprika pepper,,Oil,,,1,,1,1,35,miller,
1050000,1050000,1050000,Unknown,9050000,nylon,0,0,15,Ronisa,15,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10183602176,70000,101836,C,Spices and salt,Seasoning and spices,black pepper,,Reza,,,2,,2,1,0,,
1050000,1050000,1050000,Sarafraz,53640000,nylon,0,0,8,Baroon,8,0,0,0,0,0,0,0.00%,0,0,0,,140103,131250,10152805519,131250,101528,A,Spices and salt,Seasoning and spices,Baking powder,,Homa,,,2,,2,1,0,,
1050000,1050000,1050000,Unknown,6850000,nylon,0,0,15,Ronisa,15,0,0,0,0,0,0,0.00%,0,0,0,,140101,70000,10142602603,70000,101426,C,Spices and salt,Seasoning and spices,black pepper,,Ahan,,,22,,22,1,0,,
1050000,1050000,1050000,Unknown,2590000,nylon,0,0,10,Karaj,10,0,0,0,0,0,0,0.00%,0,0,0,,140103,105000,10120312489,105000,101203,A,Spices and salt,Seasoning and spices,Turmeric,,Moeen,,,9,,9,1,0,,
1050000,1050000,1050000,Unknown,6235000,nylon,0,0,10,Karaj,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,105000,10120312188,105000,101203,A,Spices and salt,Seasoning and spices,Turmeric,,Moeen,,,9,,9,1,0,,
1050000,1050000,1050000,Unknown,7820000,nylon,0,0,10,Karaj,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,105000,10120311463,105000,101203,A,Spices and salt,Seasoning and spices,Turmeric,,Moeen,,,9,,9,1,0,,
1050000,1050000,1050000,Unknown,2400000,nylon,0,0,15,Ronisa,15,0,0,0,0,0,0,0.00%,0,0,0,,140103,70000,10111503736,70000,101115,A,Spices and salt,Seasoning and spices,sumac,,Aboozar,,,5,,5,1,0,,
1052800,1052800,1316000,Angel,2538400,nylon,0,263200,20,Novin,20,0,0,20,0,0,0,2000.00%,0,0,0,,140101,65800,10196900602,52640,101969,C,Spices and salt,Seasoning and spices,starch,,Winner,,,14,,14,1,75,,
1052800,1052800,1316000,Angel,4076000,nylon,0,263200,20,Novin,20,0,0,20,0,0,0,2000.00%,0,0,0,,140101,65800,10177601814,52640,101776,C,Spices and salt,Seasoning and spices,starch,,Hafez,,,13,,13,1,75,,
1148393,1053571.92,1126236,Setare,19690016,nylon,0,159925.512,12,TakhtJamshid,12,2.176000118,0,12,0,0,0,1420.00%,9,0,9,,140101,93853,10178801935,87797.66,101788,B,Spices and salt,Seasoning and spices,sumac,,TehranNew,,,13,,13,1,50,,
1150841,1055817.6,1009000,Erste,1009000,nylon,0,40360,10,TakhtJamshid,10,0,0,4,0,0,0,400.00%,9,8.640000343,9,,140103,100900,10180800711,105581.76,101808,C,Spices and salt,Seasoning and spices,Turmeric,,Satar,,,2,,2,1,75,,
1056000,1056000,1056000,Unknown,5576000,nylon,0,0,12,Sogol,12,0,0,0,0,0,0,0.00%,0,0,0,,140101,88000,10153502316,88000,101535,C,Spices and salt,Seasoning and spices,pecan,,Pars,,,4,,4,1,100,,
1058224,1058223.72,1079820,Setare,3957420,nylon,0,21596.4,12,Today,12,2,0,0,0,0,0,200.00%,0,0,0,,140102,89985,10159804483,88185.31,101598,C,Spices and salt,Seasoning and spices,Turmeric,,Jam,,,4,,4,1,80,,
1062407,1062407.36,1243550,Berlin,10343670,Pat,0,181558.3,7,Pishtaz,7,0,0,2,0,0,12.56700039,1460.00%,0,0,0,,140101,177650,10198400206,151772.48,101984,C,Spices and salt,Seasoning and spices,Turmeric,,Khoob,,,16,,16,1,90,,
1065228,1065227.8,1105000,Pahlavi,5640000,nylon,0,39780,13,Abshar,13,3.598999977,0,0,0,0,0,360.00%,0,0,0,,140102,85000,10107604972,81940.6,101076,B,Spices and salt,Seasoning and spices,Baking powder,,Masi,,,15,,15,1,0,,
1162992,1066965.52,1249104,Setare,12468252,Pat,1,269806.464,7,TakhtJamshid,8,2.134000063,0,7,0,12.5,0,2160.00%,9,7.208000183,9,,140102,156138,10138004923,133370.69,101380,B,Spices and salt,Seasoning and spices,Turmeric,,NanBala,,,3,,3,1,90,,
1164056,1067940.84,1141596,Setare,19690016,nylon,0,162106.632,12,TakhtJamshid,12,2.176000118,0,12,0,0,0,1420.00%,9,0,9,,140101,95133,10178801935,88995.07,101788,B,Spices and salt,Seasoning and spices,pecan,,TehranNew,,,13,,13,1,80,,
1068000,1067999.94,1246000,Herkool,42411000,nylon,2,178178,12,Aroosha,14,0,0,0,0,14.28600025,0,1430.00%,0,0,0,,140103,89000,10200501305,76285.71,102005,B,Spices and salt,Seasoning and spices,starch,,Oil,,,1,,1,1,70,,
1164500,1068348.64,1170608,Setare,13795515,Pat,0,190809.104,8,TakhtJamshid,8,2.737999916,0,10,0,0,3.532999992,1630.00%,9,4.580999851,9,,140101,146326,10133808378,133543.58,101338,C,Spices and salt,Seasoning and spices,sumac,,Kerman,,,8,,8,1,80,,
1164897,1068713.16,1013616,Setare,2481136,nylon,0,33449.328,12,TakhtJamshid,12,3.269999981,0,0,0,0,0,330.00%,9,9.303999901,9,,140103,84468,10198800670,89059.43,101988,B,Spices and salt,Seasoning and spices,Turmeric,,Usef,,,6,,6,1,50,,
1164898,1068713.4,1013616,Setare,2460664,nylon,0,33449.328,12,TakhtJamshid,12,3.269999981,0,0,0,0,0,330.00%,9,9.303999901,9,,140103,84468,10125806770,89059.45,101258,C,Spices and salt,Seasoning and spices,Turmeric,,NanBala,,,3,,3,1,50,,
1068901,1068901.28,1148000,Setare,41134200,Pat,0,79212,8,Gilan,8,0,6.889999866,0,0,0,0,690.00%,0,0,0,,140101,143500,10161207001,133612.66,101612,B,Spices and salt,Seasoning and spices,Turmeric,,Hend,,,6,,6,1,90,,
1166349,1070045.07,1006788,Golijan,63521898,Pat,0,25169.7,3,Golijan,3,2.493000031,0,0,0,0,0,250.00%,9,2.328000069,9,,140101,335596,10181300762,356681.69,101813,B,Spices and salt,Seasoning and spices,cinnamon,,Pars,,,4,Wood,4,1,70,,
1073508,1073508.39,1101000,Unknown,21832100,nylon,0,27525,3,Ahoora,3,0,0,2,0,0,0.497000009,250.00%,0,0,0,,140102,367000,10125612650,357836.13,101256,B,Spices and salt,Seasoning and spices,Baking powder,,Nan,,,1,,1,1,0,,
1171605,1074867,1213270,Setare,16305844,carton,0,226881.49,10,TakhtJamshid,10,2.721999884,0,16,0,0,0,1870.00%,9,7.159999847,9,,140102,121327,10148909764,107486.7,101489,B,Spices and salt,Seasoning and spices,starch,,Satar,,,2,,2,1,120,Starch flour,
1171848,1075089.93,1089858,Lovely,87759552,nylon,0,103536.51,3,Rasht,3,0,0,9.5,0,0,0,950.00%,9,5.706999779,9,,140103,363286,10128905243,358363.31,101289,A,Spices and salt,Seasoning and spices,black pepper,,Daryoush,,,18,,18,1,175,,
1173126,1076262.75,1089909,Lovely,11074408,nylon,0,102451.446,3,Rasht,3,1.406000018,0,8,0,0,0,940.00%,9,8.529999733,9,,140101,363303,10138109567,358754.25,101381,C,Spices and salt,Seasoning and spices,black pepper,,Fery,,,5,,5,2,175,,
1076374,1076374.08,1435200,Unknown,11648280,nylon,0,358800,12,Ronisa,12,0,25.00200081,0,0,0,0,2500.00%,0,0,0,,140103,119600,10194802451,89697.84,101948,C,Spices and salt,Seasoning and spices,starch,,Bala,,,1,,1,1,100,,
1174692,1077699.12,1235448,Setare,8706020,Pat,1,247089.6,7,TakhtJamshid,8,3.095999956,0,4.375,0,12.5,0,2000.00%,9,8.793999672,9,,140102,154431,10154204096,134712.39,101542,C,Spices and salt,Seasoning and spices,red pepper,,Ame,,,5,,5,1,90,,
1175725,1078647.04,1235448,Setare,5942174,Pat,1,245854.152,7,TakhtJamshid,8,3.026000023,0,4.375,0,12.5,0,1990.00%,9,0,9,,140101,154431,10141404768,134830.88,101414,B,Spices and salt,Seasoning and spices,red pepper,,Usef,,,6,,6,1,90,,
1176188,1079071.68,1089909,Lovely,7314030,nylon,0,100271.628,3,Rasht,3,0,0,9.168999672,0,0,0,920.00%,9,8.663000107,9,,140101,363303,10157505309,359690.56,101575,B,Spices and salt,Seasoning and spices,black pepper,,Kar,,,1,,1,1,175,,
1176358,1079227.5,1089909,Lovely,5788479,nylon,0,100271.628,3,Rasht,3,0,0,9.156000137,0,0,0,920.00%,9,8.56499958,9,,140101,363303,10131104067,359742.5,101311,C,Spices and salt,Seasoning and spices,black pepper,,Khoob,,,16,,16,1,175,,
1176818,1079649.28,1249104,Setare,13366414,Pat,0,258564.528,8,TakhtJamshid,8,2.703000069,0,18,0,0,0,2070.00%,9,7.645999908,9,,140103,156138,10155405678,134956.16,101554,A,Spices and salt,Seasoning and spices,Turmeric,,Ame,,,5,,5,1,90,,
1179884,1082462.64,1089858,Lovely,28784252,nylon,0,96997.362,3,Rasht,3,0,0,8.87899971,0,0,0,890.00%,9,8.713999748,9,,140103,363286,10126316488,360820.88,101263,A,Spices and salt,Seasoning and spices,black pepper,,Sani,,,1,,1,1,175,,
1181005,1083491.16,998256,Setare,7708320,nylon,0,3993.024,12,TakhtJamshid,12,0.423000008,0,0,0,0,0,40.00%,9,0,9,,140101,83188,10140104485,90290.93,101401,B,Spices and salt,Seasoning and spices,red pepper,,Moeen,,,9,,9,1,50,,
1181181,1083651.84,1035600,Erste,3124800,Pat,0,41424,6,TakhtJamshid,6,0,0,4,0,0,0,400.00%,9,8.640000343,9,,140102,172600,10174802609,180608.64,101748,B,Spices and salt,Seasoning and spices,garlic powder,,Government,,,3,,3,1,75,salt shaker,
1181517,1083960.64,1194496,Setare,21753004,Pat,0,199480.832,8,TakhtJamshid,8,2.746999979,0,14,0,0,0,1670.00%,9,0,9,,140101,149312,10151508437,135495.08,101515,A,Spices and salt,Seasoning and spices,garlic powder,,Janat,,,5,,5,1,100,,
1182753,1085094.48,1051152,Setare,4736872,Pat,0,55711.056,8,TakhtJamshid,8,2.29399991,0,3,0,0,0,530.00%,9,0,9,,140101,131394,10151706124,135636.81,101517,B,Spices and salt,Seasoning and spices,Turmeric,,Government,,,3,,3,1,90,,
1183463,1085745.6,1100640,Setare,18105012,nylon,0,104560.8,12,TakhtJamshid,12,1.498000026,0,8,0,0,0,950.00%,9,8.772999763,9,,140101,91720,10140203565,90478.8,101402,C,Spices and salt,Seasoning and spices,curry spice,,Jey,,,10,,10,1,50,,
1183738,1085998.62,1100916,Lovely,64536450,nylon,0,104587.02,6,Rasht,6,0,0,9.5,0,0,0,950.00%,9,8.673000336,9,,140103,183486,10161408880,180999.77,101614,B,Spices and salt,Seasoning and spices,Turmeric,,Gharb,,,2,,2,1,155,,
1184797,1086969.84,1089858,Lovely,44851724,nylon,0,92637.93,3,Rasht,3,0,0,8.5,0,0,0,850.00%,9,7.300000191,9,,140102,363286,10123607630,362323.28,101236,C,Spices and salt,Seasoning and spices,black pepper,,Tehranhead,,,21,,21,1,175,,
1187643,1089580.92,1141596,Setare,2451980,nylon,1,141557.904,11,TakhtJamshid,12,1.353999972,0,2.75,0,8.333000183,0,1240.00%,9,8.652999878,9,,140101,95133,10123207323,90798.41,101232,D,Spices and salt,Seasoning and spices,pecan,,Tehranhead,,,21,,21,1,80,,
1092000,1092000,1092000,Setare,4236000,nylon,0,0,12,Bijar,12,0,0,0,0,0,0,0.00%,0,0,0,,140101,91000,10146109694,91000,101461,A,Spices and salt,Seasoning and spices,sour dough,,Winner,,,14,,14,1,0,,
1191566,1093179.54,1120578,Lovely,64906134,nylon,0,117660.69,6,Rasht,6,0,0,10.5,0,0,0,1050.00%,9,8.437999725,9,,140103,186763,10138901665,182196.59,101389,C,Spices and salt,Seasoning and spices,Turmeric,,NanBala,,,3,,3,1,155,,
1191997,1093575.18,1100916,Lovely,48798888,nylon,0,97981.524,6,Rasht,6,0,0,8.869000435,0,0,0,890.00%,9,8.607999802,9,,140103,183486,10136006141,182262.53,101360,C,Spices and salt,Seasoning and spices,Turmeric,,Ahan,,,22,,22,1,155,,
1192748,1094264.07,1089858,Lovely,16542585,nylon,0,86098.782,3,Rasht,3,0,0,7.886000156,0,0,0,790.00%,9,8.779999733,9,,140102,363286,10200500794,364754.69,102005,B,Spices and salt,Seasoning and spices,black pepper,,Oil,,,1,,1,1,175,,
1193476,1094932.23,1089858,Lovely,20421819,nylon,0,85008.924,3,Rasht,3,0,0,7.829999924,0,0,0,780.00%,9,8.222000122,9,,140102,363286,10186702902,364977.41,101867,B,Spices and salt,Seasoning and spices,black pepper,,NanBala,,,3,,3,1,175,,
1193556,1095005.25,1089858,Lovely,22368381,nylon,0,85008.924,3,Rasht,3,0,0,7.823999882,0,0,0,780.00%,9,8.161999702,9,,140102,363286,10186702680,365001.75,101867,B,Spices and salt,Seasoning and spices,black pepper,,NanBala,,,3,,3,1,175,,
1196680,1097871.93,1089858,Lovely,3902251,nylon,0,82829.208,3,Rasht,3,0,0,7.581999779,0,0,0,760.00%,9,8.680999756,9,,140102,363286,10209400181,365957.31,102094,C,Spices and salt,Seasoning and spices,black pepper,,Tehranhead,,,21,,21,1,175,,
1197498,1098621.96,1120578,Lovely,29264768,nylon,0,113178.378,6,Rasht,6,0,0,10.0539999,0,0,0,1010.00%,9,6.15500021,9,,140102,186763,10152703605,183103.66,101527,C,Spices and salt,Seasoning and spices,Turmeric,,4Rah,,,10,,10,1,155,,
1100000,1100000,1100000,Unknown,9270000,Pat,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140103,110000,10196701588,110000,101967,C,Spices and salt,Seasoning and spices,Turmeric,,Khale,,,8,,8,1,0,,
1100000,1100000,1100000,Ghoniza,6580000,nylon,0,0,10,Jojoo,10,0,0,0,0,0,0,0.00%,0,0,0,,140102,110000,10195001280,110000,101950,B,Spices and salt,Seasoning and spices,cinnamon,,NanBala,,,3,,3,1,50,,
1100000,1100000,1100000,Unknown,4660000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140103,110000,10185402021,110000,101854,C,Spices and salt,Seasoning and spices,starch,,Khale,,,8,,8,1,0,,
1100000,1100000,1100000,Unknown,3480000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,110000,10185401983,110000,101854,C,Spices and salt,Seasoning and spices,starch,,Khale,,,8,,8,1,0,,
1100000,1100000,1100000,Unknown,6760000,carton,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140102,110000,10184301970,110000,101843,D,Spices and salt,Seasoning and spices,Turmeric,,Ame,,,5,,5,1,0,,
1100000,1100000,1100000,Unknown,3600000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,110000,10163002992,110000,101630,C,Spices and salt,Seasoning and spices,black pepper,,Pars,,,4,,4,1,0,,
1100000,1100000,1100000,Unknown,10900000,nylon,0,0,10,Ronisa,10,0,0,0,0,0,0,0.00%,0,0,0,,140101,110000,10163002737,110000,101630,C,Spices and salt,Seasoning and spices,Turmeric,,Pars,,,4,,4,1,0,,
1200744,1101599.82,1120578,Lovely,29747493,nylon,0,109816.644,6,Rasht,6,0,0,9.81099987,0,0,0,980.00%,9,8.538000107,9,,140102,186763,10131104190,183599.97,101311,C,Spices and salt,Seasoning and spices,Turmeric,,Khoob,,,16,,16,1,155,,
1103496,1103496.03,1235000,Herkool,6446000,nylon,1,130910,12,Aroosha,13,2.95600009,0,0,0,7.691999912,0,1060.00%,0,0,0,,140103,95000,10154103240,84884.31,101541,C,Spices and salt,Seasoning and spices,cinnamon,,Winner,,,14,Wood,14,1,20,,
1203677,1104290.4,1249104,Setare,14413568,Pat,0,236080.656,8,TakhtJamshid,8,2.892999887,0,16,0,0,0,1890.00%,9,8.199999809,9,,140102,156138,10151706204,138036.3,101517,B,Spices and salt,Seasoning and spices,Turmeric,,Government,,,3,,3,1,90,,
1204005,1104591.84,1235448,Setare,2791704,Pat,1,222380.64,7,TakhtJamshid,8,2.848999977,0,2.625,0,12.5,0,1800.00%,9,8.071000099,9,,140102,154431,10103614140,138073.98,101036,A,Spices and salt,Seasoning and spices,red pepper,,Kasif,,,6,,6,1,90,,
1204220,1104789.09,1089858,Lovely,25735675,nylon,0,76290.06,3,Rasht,3,0,0,7,0,0,0,700.00%,9,8.859000206,9,,140103,363286,10156406494,368263.03,101564,B,Spices and salt,Seasoning and spices,black pepper,,Janat,,,5,,5,1,175,,
1104891,1104891.1,1246000,Herkool,4148000,nylon,0,140798,14,Aroosha,14,5.486000061,0,0,0,0,17.16399956,2260.00%,0,0,0,,140103,178000,10195202784,157841.9,101952,A,Spices and salt,Seasoning and spices,starch,,Bala,,,1,,1,1,140,,
1105030,1105030.03,1235000,Herkool,8073000,nylon,1,129675,12,Aroosha,13,2.832000017,0,0,0,7.691999912,0,1050.00%,0,0,0,,140103,95000,10126507150,85002.31,101265,B,Spices and salt,Seasoning and spices,cinnamon,,Ghole,,,3,Wood,3,1,20,,
1204880,1105394.04,1120578,Lovely,87759552,nylon,0,106454.91,6,Rasht,6,0,0,9.5,0,0,0,950.00%,9,5.706999779,9,,140103,186763,10128905243,184232.34,101289,A,Spices and salt,Seasoning and spices,Turmeric,,Daryoush,,,18,,18,1,155,,
1205582,1106038.23,1089858,Lovely,11456874,nylon,0,75200.202,3,Rasht,3,0,0,6.894999981,0,0,0,690.00%,9,8.868000031,9,,140102,363286,10209700237,368679.41,102097,B,Spices and salt,Seasoning and spices,black pepper,,Restooran,,,1,,1,1,175,,
1205592,1106048.07,1089858,Lovely,9851408,nylon,0,75200.202,3,Rasht,3,0,0,6.894000053,0,0,0,690.00%,9,8.859999657,9,,140102,363286,10162004366,368682.69,101620,B,Spices and salt,Seasoning and spices,black pepper,,TehranNew,,,13,,13,1,175,,
1206316,1106712.12,1034088,Setare,17363751,nylon,0,18613.584,12,TakhtJamshid,12,1.81400001,0,0,0,0,0,180.00%,9,0,9,,140103,86174,10158506823,92226.01,101585,C,Spices and salt,Seasoning and spices,sour dough,,Safran,,,1,,1,1,50,,
1206842,1107194.7,1120578,Lovely,15189000,nylon,0,105334.332,6,Rasht,6,0,0,9.352999687,0,0,0,940.00%,9,7.620999813,9,,140102,186763,10191901722,184532.45,101919,C,Spices and salt,Seasoning and spices,Turmeric,,Eshgh,,,12,,12,1,155,,
1208111,1108358.52,1141596,Setare,12702588,nylon,0,124433.964,12,TakhtJamshid,12,2.927999973,0,8,0,0,0,1090.00%,9,0,9,,140102,95133,10152206838,92363.21,101522,C,Spices and salt,Seasoning and spices,pecan,,Kasif,,,6,,6,1,80,,
1208169,1108411.8,1167192,Setare,15774004,nylon,0,150567.768,12,TakhtJamshid,12,2.877000093,0,10,0,0,0,1290.00%,9,6.078000069,9,,140103,97266,10149303488,92367.65,101493,C,Spices and salt,Seasoning and spices,red pepper,,Homa,,,2,,2,1,50,,
1208960,1109137.62,1050000,Frueh,61326000,Pat,0,32550,6,Binalood,6,3.089999914,0,0,0,0,0,310.00%,9,3.065000057,9,,140102,175000,10180004543,184856.27,101800,B,Spices and salt,Seasoning and spices,Turmeric,,Ashraf,,,5,,5,1,90,,
1209217,1109373.6,1141596,Setare,10724588,nylon,0,123292.368,12,TakhtJamshid,12,2.845999956,0,8,0,0,0,1080.00%,9,0,9,,140101,95133,10176801785,92447.8,101768,C,Spices and salt,Seasoning and spices,pecan,,Ekbatan,,,5,,5,1,80,,
1209450,1109587.32,1089858,Lovely,13346436,nylon,0,71930.628,3,Rasht,3,0,0,6.596000195,0,0,0,660.00%,9,8.887999535,9,,140103,363286,10177701770,369862.44,101777,B,Spices and salt,Seasoning and spices,black pepper,,Hafez,,,13,,13,1,175,,
1209461,1109597.16,1120578,Lovely,5788479,nylon,0,103093.176,6,Rasht,6,0,0,9.156000137,0,0,0,920.00%,9,8.56499958,9,,140101,186763,10131104067,184932.86,101311,C,Spices and salt,Seasoning and spices,Turmeric,,Khoob,,,16,,16,1,155,,
1212267,1112171.7,1120578,Lovely,10759550,nylon,0,99731.442,6,Rasht,6,0.944999993,0,8,0,0,0,890.00%,9,8.75399971,9,,140102,186763,10178301401,185361.95,101783,C,Spices and salt,Seasoning and spices,Turmeric,,Ahan,,,22,,22,1,155,,
1212973,1112819.28,1194496,Setare,24628486,Pat,0,173201.92,8,TakhtJamshid,8,2.529999971,0,12,0,0,0,1450.00%,9,6.414000034,9,,140101,149312,10158605731,139102.41,101586,B,Spices and salt,Seasoning and spices,garlic powder,,Homa,,,2,,2,1,100,,
1213553,1113351.12,1120578,Lovely,6147756,nylon,0,98610.864,6,Rasht,6,0,0,8.848999977,0,0,0,880.00%,9,8.409000397,9,,140102,186763,10157701792,185558.52,101577,D,Spices and salt,Seasoning and spices,Turmeric,,Tehranhead,,,21,,21,1,155,,
1213803,1113581.04,1120578,Lovely,45596862,nylon,0,98610.864,6,Rasht,6,0,0,8.829999924,0,0,0,880.00%,9,8.222999573,9,,140102,186763,10203901027,185596.84,102039,B,Spices and salt,Seasoning and spices,Turmeric,,Ahan,,,22,,22,1,155,,
1218193,1117608.66,1120578,Lovely,44851724,nylon,0,95249.13,6,Rasht,6,0,0,8.5,0,0,0,850.00%,9,7.300000191,9,,140102,186763,10123607630,186268.11,101236,C,Spices and salt,Seasoning and spices,Turmeric,,Tehranhead,,,21,,21,1,155,,
1220496,1119721.04,1194496,Setare,35958226,Pat,0,167229.44,8,TakhtJamshid,8,0,0,14,0,0,0,1400.00%,9,5.769000053,9,,140101,149312,10169003302,139965.13,101690,B,Spices and salt,Seasoning and spices,garlic powder,,Janat,,,5,,5,1,100,,
1220758,1119961.32,1141596,Setare,11342956,nylon,0,114159.6,12,TakhtJamshid,12,2.996000051,0,7,0,0,0,1000.00%,9,6.017000198,9,,140101,95133,10136106315,93330.11,101361,B,Spices and salt,Seasoning and spices,pecan,,Satar,,,2,,2,1,80,,
1221746,1120867.68,1100916,Lovely,6895224,Pat,0,72660.456,3,Rasht,3,0,0,6.593999863,0,0,0,660.00%,9,8.859999657,9,,140103,366972,10144102417,373622.56,101441,C,Spices and salt,Seasoning and spices,sumac,,Eshgh,,,12,,12,1,175,,
1122056,1122055.5,1181100,Mahi,12426200,nylon,0,59055,30,Paytakht,30,4.999000072,0,0,0,0,0,500.00%,0,0,0,,140101,39370,10124909633,37401.85,101249,C,Spices and salt,Seasoning and spices,vanilla,,Ara,,,2,,2,1,10,sugari,
1223218,1122218.52,1034088,Setare,23380826,nylon,0,4136.352,12,TakhtJamshid,12,0.437999994,0,0,0,0,0,40.00%,9,0,9,,140103,86174,10158606223,93518.21,101586,B,Spices and salt,Seasoning and spices,sour dough,,Homa,,,2,,2,1,50,,
1123561,1123561.32,1200000,Herkool,184715000,Pat,0,76800,12,Aroosha,12,2.619999886,0,2,1.748999953,0,0,640.00%,0,0,0,,140103,100000,10146111088,93630.11,101461,A,Spices and salt,Seasoning and spices,garlic powder,,Winner,,,14,,14,1,80,,
1224850,1123715.88,1120578,Lovely,31500584,nylon,0,89646.24,6,Rasht,6,0,0,8,0,0,0,800.00%,9,8.76099968,9,,140103,186763,10183401408,187285.98,101834,B,Spices and salt,Seasoning and spices,Turmeric,,Dandoon,,,2,,2,1,155,,
1224850,1123715.88,1120578,Lovely,7248018,nylon,0,89646.24,6,Rasht,6,0,0,8,0,0,0,800.00%,9,8.812999725,9,,140101,186763,10152805061,187285.98,101528,A,Spices and salt,Seasoning and spices,Turmeric,,Homa,,,2,,2,1,155,,
1226423,1125159,1120578,Lovely,30452661,nylon,0,88525.662,6,Rasht,6,0,0,7.881999969,0,0,0,790.00%,9,8.739999771,9,,140103,186763,10209700730,187526.5,102097,B,Spices and salt,Seasoning and spices,Turmeric,,Restooran,,,1,,1,1,155,,
1226510,1125238.62,1120578,Lovely,8686365,nylon,0,88525.662,6,Rasht,6,0,0,7.875,0,0,0,790.00%,9,0,9,,140102,186763,10180701491,187539.77,101807,C,Spices and salt,Seasoning and spices,Turmeric,,Abadi,,,19,,19,1,155,,
1226752,1125460.98,1120578,Lovely,10023330,nylon,0,88525.662,6,Rasht,6,0,0,7.856999874,0,0,0,790.00%,9,8.494999886,9,,140102,186763,10190901949,187576.83,101909,B,Spices and salt,Seasoning and spices,Turmeric,,Janat,,,5,,5,1,155,,
1227036,1125721.08,1068000,Frueh,2040000,nylon,0,35244,12,Binalood,12,3.299000025,0,0,0,0,0,330.00%,9,9.30700016,9,,140102,89000,10208700545,93810.09,102087,B,Spices and salt,Seasoning and spices,Turmeric,,GroserZar,,,3,,3,1,50,,
1125761,1125760.5,1185000,Mahi,12426200,Pat,0,59250,10,Paytakht,10,4.999000072,0,0,0,0,0,500.00%,0,0,0,,140101,118500,10124909633,112576.05,101249,C,Spices and salt,Seasoning and spices,garlic powder,,Ara,,44767,2,,2,1,100,,
1228113,1126709.28,1055004,Golijan,8874964,nylon,0,21100.08,12,Golijan,12,2.020999908,0,0,0,0,0,200.00%,9,1.092000008,9,,140102,87917,10198800708,93892.44,101988,B,Spices and salt,Seasoning and spices,angelica,,Usef,,,6,,6,1,50,,
1228600,1127155.92,1034088,Setare,3184188,nylon,0,0,12,TakhtJamshid,12,0,0,0,0,0,0,0.00%,9,0,9,,140103,86174,10138703987,93929.66,101387,C,Spices and salt,Seasoning and spices,sour dough,,Pars,,,4,,4,1,50,,
